Country,Alcoholic Beverages,Animal Products,Cereals,Eggs,Seafood,FruitsAndVegetabels,Milk,Sugar,Else,Animal fats,"Aquatic Products, Other",Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Treenuts,Vegetable Oils,Miscellaneous,Obesity,Undernourished
Sweden,0.3591,44.8445,12.2651,1.9867,3.9873,20.3842,11.7101,0.0047,4.4585,0.527,0,0.028,0.5363,0.499,0.1213,1.054,1.0679,0.3591,0.0933,0.1726,22.1,<2.5
Switzerland,0.408,42.3153,13.2925,1.674,2.2651,21.8665,14.1191,0.0105,4.049,0.0732,0.0052,0.7585,0.4447,0.5964,0.1151,0.9207,0.2459,0.8684,0.0209,0,21.2,<2.5
Taiwan*,0.2391,39.551,12.9738,2.4082,4.5073,28.8746,2.4431,0.0117,8.9912,0.035,0.0175,0.5598,6.0058,0.9329,0.2041,0.2391,0.3557,0.5364,0.0058,0.0991,NA,3.5
Tajikistan,0.009,17.7002,28.2246,0.6499,0.0903,43.4877,4.8921,0,4.9463,0,0,0.9568,0.6679,1.4803,0.0903,1.2546,0.2437,0.1354,0.009,0.1083,12.6,NA
Thailand,0.336,28.7986,19.8574,3.188,8.2855,30.8801,2.0406,0,6.6137,0.0246,0.0328,0.5491,1.9423,1.2375,1.8604,0.4507,0.3524,0.1147,0.0164,0.0328,10.8,7.8
Timor-Leste,0.0433,24.1944,26.8711,0.2166,1.9491,37.6473,0.2772,0,8.8012,0.104,0,0.3812,2.157,3.6036,0.0866,1.0135,1.2474,0,0.0087,0.1992,2.9,24.9
Togo,0.096,11.9679,26.0904,0.2355,2.739,42.9606,0.82,0,15.0906,0.0174,0,0.2791,1.4567,7.8768,0.1483,4.9721,0.1396,0,0,0.2006,7.1,16.1
Trinidad and Tobago,0.0945,38.5292,16.7277,0.7442,4.0579,26.5032,5.9657,0,7.3774,0.0532,0,0.5611,1.0514,3.2369,0.4135,1.0573,0.2008,0.2067,0.0413,0.5552,19.7,5.5
Tunisia,0.0657,19.6271,25.144,1.1367,1.7834,40.4415,5.4865,0,6.315,0.0909,0,0.3688,1.1013,2.3795,0.3587,0.6366,0.4193,0.8538,0.0657,0.0404,27.3,4.3
Turkey,0.0692,24.9494,20.5038,1.1558,0.6866,37.0363,8.1403,0.0049,7.4536,0.0395,0,0.3655,0.652,3.4675,0.3803,1.0768,0.5335,0.8298,0.0692,0.0395,32.2,<2.5
Turkmenistan,0,33.9149,24.3242,1.1201,0.4685,30.6946,7.3613,0,2.1162,0.0485,0,0.1992,0.1992,0.4739,0.0054,0.7485,0.2746,0.0592,0.0162,0.0915,17.5,5.4
Uganda,0.7449,13.6854,13.7809,0.2388,3.2184,43.2146,3.0465,0,22.0705,0.0382,0,0.5539,2.6454,14.9938,0.0478,3.7341,0.0382,0,0,0.0191,4.1,41
Ukraine,0.3075,30.767,20.3469,2.4542,1.8276,31.4515,7.6004,0,5.2448,0.0696,0,0.6672,0.0174,0.6672,0.0348,3.336,0.2031,0.1741,0.0464,0.029,26.1,3.5
United Arab Emirates,0,30.756,16.2513,1.0294,2.9531,32.2232,5.4823,0,11.3047,0.0606,0,0.5496,0.8803,7.5411,0.5962,0.2189,0.2282,0.9875,0.0047,0.2376,29.9,2.6
United Kingdom,0.4758,42.6834,13.8546,1.6724,2.5181,24.0857,8.8375,0.0048,5.8677,0.0673,0,0.4325,0.7353,1.0909,0.173,1.9607,0.7785,0.2979,0,0.3316,29.5,<2.5
