Country,Alcoholic Beverages,Animal Products,Cereals,Eggs,Seafood,FruitsAndVegetabels,Milk,Sugar,Else,Animal fats,"Aquatic Products, Other",Miscellaneous,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Treenuts,Vegetable Oils,Obesity,Undernourished
New Zealand,1.6474,21.9864,14.4781,0.6336,0.6653,37.6524,2.2968,8.8706,11.7693,4.562,0,0,0.095,0.8871,0.5227,0.1109,1.5524,0.1267,0.5544,3.3581,32,<2.5
Nicaragua,0.6658,8.8073,25.0904,0.3614,0.2283,45.4251,2.6441,7.8181,8.9595,0.5136,0,0.2663,0.1141,0.5707,2.3778,0,0.856,0.1141,0,4.1469,21.8,17
Niger,0.0194,4.4979,31.0585,0.0194,0.0775,49.0888,1.6479,0.6786,12.912,0.4847,0,0.0194,0.1163,3.2571,6.3009,0.1357,0.6979,0.0194,0,1.8806,4.7,16.5
Nigeria,1.2178,2.3138,21.5953,0.1624,0.345,50.9234,0.2233,1.6034,21.6156,0.1421,0,0.0203,0.0406,1.2381,1.9687,0.4059,12.259,0.0203,0.1827,5.3379,7.8,13.4
North Macedonia,0.9837,12.4208,16.6889,0.3501,0.1834,45.4651,3.5178,6.3021,14.0881,2.1841,0,0.1334,0.1834,0.8003,0.7836,0.3334,1.8673,0.7669,0.4335,6.6022,23.9,3.2
Norway,1.7142,21.265,14.0092,0.665,1.5516,37.1361,5.0392,4.1673,14.4525,2.5713,0,1.1822,0.0739,0.8867,0.8275,0.0591,1.4334,0.9901,0.4286,5.9997,25,<2.5
Oman,0.0853,13.3573,19.7544,0.5288,0.7847,48.5499,4.7083,4.5036,7.7276,0.5629,0,0.1024,0.1365,0.3241,0.6482,0.5118,0.8188,0.3753,0.1876,4.06,22.9,6.8
Pakistan,0,13.0211,23.3348,0.2793,0.0645,39.6433,6.9618,5.5006,11.1947,2.514,0,0.0215,0.1289,0.6446,1.3537,0.2793,0.7091,0.1289,0.1289,5.2858,7.8,20.3
Panama,1.8134,14.6655,21.2852,0.3873,0.5986,42.1479,3.257,6.1972,9.6478,2.3063,0,0.3697,0.1937,0.6514,0.8803,0.0352,0.6866,0.3521,0.1408,4.0317,22.5,10
Paraguay,1.8252,13.9624,15.8241,0.7848,0.146,42.3618,2.3362,5.0192,17.7405,1.1863,0,0.0913,0.3285,0.8213,1.4054,0.0183,7.1181,0.4745,0,6.2968,19,10.7
Peru,1.5529,7.8187,21.2893,0.5778,0.8848,48.8082,1.8599,4.2615,12.9471,0.1806,0,0.0542,0.2709,0.7584,1.4987,0.0361,6.7895,0.1806,0.0542,3.1239,19.1,9.7
Philippines,1.0845,12.1728,28.5153,0.2992,0.9723,45.8115,0.4301,4.0763,6.6381,1.3837,0,0.0374,0.187,0.5423,0.2244,0.0748,1.6268,0.2244,0.187,2.1503,6,13.3
